reaction,server,converged,error,best_ts_method,branch,execution_time
rxn_1301,Zeus,True,,heuristics,qchem,50789
rxn_712,Zeus,False,Could not determine likely TS conformer,,qchem,776
rxn_1480,Zeus,True,,heuristics,qchem,32373
rxn_1590,Zeus,False,Could not determine likely TS conformer,,gaussian_unconverge_trsh,5632
rxn_1429,Zeus,True,,heuristics,qchem,14982
rxn_610,Zeus,True,,heuristics,qchem,89730
rxn_418,Zeus,True,,heuristics,qchem,16793
rxn_388,Zeus,True,,heuristics,qchem,2262
rxn_54,Zeus,False,Could not determine likely TS conformer,,qchem,5035
rxn_1896,Zeus,True,,heuristics,gauss_trsh_cleanup,7145
rxn_675,Zeus,True,,heuristics,qchem,671
rxn_1330,Zeus,True,,heuristics,qchem,17590
rxn_228,Zeus,True,,heuristics,qchem,5324
rxn_556,Zeus,True,,heuristics,qchem,63654
rxn_1159,Zeus,True,,heuristics,qchem,19317
rxn_1864,Zeus,True,,heuristics,gauss_trsh_cleanup,1966
rxn_230,Zeus,True,"Reactant or Product did not converge, but TS did",autotst,qchem,9190
rxn_220,Zeus,False,Could not determine likely TS conformer,,qchem,13748
rxn_996,Zeus,True,,heuristics,qchem,1346
rxn_139,Zeus,True,"Reactant or Product did not converge, but TS did",heuristics,qchem,3177
rxn_1827,Zeus,True,,heuristics,gauss_trsh_cleanup,12517
rxn_1900,Zeus,True,,heuristics,heurist_impr,47766
rxn_2012,Zeus,True,,heuristics,heurist_impr,88966
rxn_1491,Zeus,True,,heuristics,qchem,86148
rxn_860,Zeus,True,,heuristics,qchem,7488
rxn_694,Zeus,True,,heuristics,qchem,993
rxn_425,Zeus,True,,heuristics,qchem,68293
rxn_1413,Zeus,True,,heuristics,qchem,24094
rxn_120,Zeus,False,Could not determine likely TS conformer,,qchem,8731
rxn_2003,Zeus,True,,heuristics,gauss_conformer_comb,17700
rxn_929,Zeus,True,,heuristics,qchem,19755
rxn_829,Zeus,False,Could not determine likely TS conformer,,qchem,10839
rxn_290,Zeus,False,Could not determine likely TS conformer,,qchem,8019
rxn_566,Zeus,True,,heuristics,qchem,54470
rxn_1913,Zeus,True,,heuristics,gauss_trsh_cleanup,11325
rxn_1969,Zeus,True,,heuristics,gauss_trsh_cleanup,11790
rxn_1157,Zeus,True,,heuristics,qchem,21199
rxn_966,Zeus,True,,heuristics,qchem,33344
rxn_1079,Zeus,True,,heuristics,qchem,11155
rxn_1669,Zeus,True,,heuristics,main,10977
rxn_1989,Zeus,True,,heuristics,gauss_conformer_comb,2200
rxn_1086,Zeus,False,Could not determine likely TS conformer,,qchem,65055
rxn_817,Zeus,False,Could not determine likely TS conformer,,qchem,8274
rxn_1040,Zeus,True,,heuristics,qchem,6430
rxn_481,Zeus,True,,heuristics,qchem,12940
rxn_1999,Zeus,True,,heuristics,gauss_conformer_comb,19657
rxn_891,Zeus,True,,heuristics,qchem,2614
rxn_333,Zeus,False,Could not determine likely TS conformer,,qchem,15217
rxn_174,Zeus,True,,heuristics,qchem,7008
rxn_342,Zeus,True,TS did not pass all checks,heuristics,qchem,2022
rxn_1877,Zeus,True,,heuristics,gauss_trsh_cleanup,14371
rxn_1998,Zeus,True,,heuristics,gauss_conformer_comb,58554
rxn_1048,Zeus,True,,heuristics,qchem,17696
rxn_1801,Zeus,True,,heuristics,gauss_trsh_cleanup,1598
rxn_1875,Zeus,True,,heuristics,gauss_trsh_cleanup,9042
rxn_1272,Zeus,True,,heuristics,qchem,108340
rxn_118,Zeus,True,,heuristics,qchem,1517
rxn_1321,Zeus,False,Could not determine likely TS conformer,,qchem,108001
rxn_1463,Zeus,True,,heuristics,qchem,22248
rxn_1411,Zeus,True,,heuristics,qchem,20032
rxn_787,Zeus,True,,heuristics,qchem,2468
rxn_312,Zeus,False,Could not determine likely TS conformer,,qchem,2310
rxn_431,Zeus,False,Could not determine likely TS conformer,,qchem,8463
rxn_1238,Zeus,True,,heuristics,qchem,5175
rxn_1591,Zeus,False,Could not determine likely TS conformer,,gaussian_unconverge_trsh,12945
rxn_1368,Zeus,True,,heuristics,qchem,10982
rxn_148,Zeus,False,Could not determine likely TS conformer,,qchem,20847
rxn_1220,Zeus,True,,heuristics,qchem,10419
rxn_1635,Zeus,False,Could not determine likely TS conformer,,gaussian_unconverge_trsh,14209
rxn_1309,Zeus,True,,heuristics,qchem,19562
rxn_1400,Zeus,True,,heuristics,qchem,18976
rxn_1099,Zeus,True,,heuristics,qchem,270057
rxn_1599,Zeus,True,,heuristics,gaussian_unconverge_trsh,6991
rxn_1223,Zeus,True,,autotst,qchem,21740
rxn_1887,Zeus,True,,heuristics,gauss_trsh_cleanup,6412
rxn_1511,Zeus,True,,heuristics,qchem,64746
rxn_206,Zeus,False,Could not determine likely TS conformer,,qchem,6056
rxn_831,Zeus,True,,heuristics,qchem,4526
rxn_192,Zeus,True,,heuristics,qchem,2974
rxn_670,Zeus,True,,heuristics,qchem,806
rxn_1165,Zeus,True,,autotst,qchem,57434
rxn_1661,Zeus,True,,heuristics,main,18509
rxn_909,Zeus,True,,heuristics,qchem,2893
rxn_848,Zeus,True,,heuristics,qchem,1415
rxn_1056,Zeus,True,,heuristics,qchem,12620
rxn_837,Zeus,True,,heuristics,qchem,2705
rxn_268,Zeus,True,,heuristics,qchem,10021
rxn_1146,Zeus,True,,heuristics,qchem,29890
rxn_987,Zeus,True,,autotst,qchem,45234
rxn_590,Zeus,True,,autotst,qchem,68579
rxn_1246,Zeus,True,,heuristics,qchem,7701
rxn_428,Zeus,True,,heuristics,qchem,5986
rxn_301,Zeus,True,,heuristics,qchem,15577
rxn_732,Zeus,True,,autotst,qchem,39113
rxn_1031,Zeus,True,,heuristics,qchem,7633
rxn_1260,Zeus,True,,heuristics,qchem,11907
rxn_1799,Zeus,True,,heuristics,gauss_trsh_cleanup,755
rxn_168,Zeus,True,TS did not pass all checks,heuristics,qchem,5021
rxn_315,Zeus,True,,heuristics,qchem,2167
rxn_1610,Zeus,False,Could not determine likely TS conformer,,gaussian_unconverge_trsh,13488
rxn_2018,Zeus,True,,heuristics,heurist_impr,18703
rxn_726,Zeus,False,Could not determine likely TS conformer,,qchem,55921
rxn_982,Zeus,True,,heuristics,qchem,11639
rxn_77,Zeus,True,,heuristics,qchem,363
rxn_98,Zeus,True,,heuristics,qchem,5478
rxn_441,Zeus,False,Could not determine likely TS conformer,,qchem,13708
rxn_345,Zeus,True,,autotst,qchem,2874
rxn_1253,Zeus,True,,heuristics,qchem,4715
rxn_1915,Zeus,True,,heuristics,gauss_trsh_cleanup,32422
rxn_1240,Zeus,True,,heuristics,qchem,14160
rxn_266,Zeus,True,TS did not pass all checks,heuristics,qchem,21536
rxn_1009,Zeus,True,,heuristics,qchem,13167
rxn_1234,Zeus,True,,autotst,qchem,11535
rxn_1636,Zeus,True,,heuristics,gaussian_unconverge_trsh,3827
rxn_326,Zeus,True,,heuristics,qchem,2875
rxn_270,Zeus,True,,heuristics,qchem,10797
rxn_622,Zeus,False,Could not determine likely TS conformer,,qchem,670
rxn_805,Zeus,False,Could not determine likely TS conformer,,qchem,2836
rxn_1222,Zeus,True,"Reactant or Product did not converge, but TS did",heuristics,qchem,26393
rxn_881,Zeus,True,,heuristics,qchem,18026
rxn_1061,Zeus,True,,heuristics,qchem,12299
rxn_803,Zeus,False,Could not determine likely TS conformer,,qchem,5546
rxn_685,Zeus,True,,heuristics,qchem,2521
rxn_771,Zeus,True,,heuristics,qchem,9147
rxn_370,Zeus,False,Could not determine likely TS conformer,,qchem,6302
rxn_571,Zeus,True,,heuristics,qchem,125173
rxn_1271,Zeus,True,,heuristics,qchem,29380
rxn_604,Zeus,True,,heuristics,qchem,60218
rxn_920,Zeus,True,,heuristics,qchem,13397
rxn_1111,Zeus,True,,heuristics,qchem,21627
rxn_357,Zeus,True,,autotst,qchem,2755
rxn_844,Zeus,True,,heuristics,qchem,2316
rxn_1496,Zeus,True,,heuristics,qchem,61492
rxn_1262,Zeus,False,Could not determine likely TS conformer,,qchem,22034
rxn_1190,Zeus,True,,heuristics,qchem,30133
rxn_1043,Zeus,True,,heuristics,qchem,16708
rxn_1615,Zeus,True,,heuristics,gaussian_unconverge_trsh,13076
rxn_1816,Zeus,True,,heuristics,gauss_trsh_cleanup,3747
rxn_1185,Zeus,True,,heuristics,qchem,131178
rxn_1364,Zeus,True,,heuristics,qchem,14079
rxn_890,Zeus,True,,heuristics,qchem,5549
rxn_779,Zeus,True,,heuristics,qchem,4461
rxn_1605,Zeus,True,,heuristics,gaussian_unconverge_trsh,5944
rxn_754,Zeus,True,,heuristics,qchem,2457
rxn_318,Zeus,True,,heuristics,qchem,847
rxn_242,Zeus,False,Could not determine likely TS conformer,,qchem,4875
rxn_1396,Zeus,True,,heuristics,qchem,25920
rxn_1378,Zeus,True,,heuristics,qchem,13697
rxn_1884,Zeus,True,,heuristics,gauss_trsh_cleanup,10765
rxn_1850,Zeus,True,,heuristics,gauss_trsh_cleanup,6177
rxn_793,Zeus,True,,heuristics,qchem,11400
rxn_857,Zeus,True,,heuristics,qchem,9389
rxn_720,Zeus,False,Could not determine likely TS conformer,,qchem,2970
rxn_745,Zeus,True,,heuristics,qchem,70294
rxn_1964,Zeus,True,,heuristics,gauss_trsh_cleanup,82213
rxn_1948,Zeus,True,,heuristics,gauss_trsh_cleanup,9070
rxn_13,Zeus,True,,heuristics,qchem,35126
rxn_1494,Zeus,True,,autotst,qchem,58020
rxn_1310,Zeus,True,,heuristics,qchem,42525
rxn_1135,Zeus,True,,heuristics,qchem,16511
rxn_324,Zeus,True,,heuristics,qchem,8549
rxn_1922,Zeus,True,,heuristics,gauss_trsh_cleanup,27171
rxn_617,Zeus,True,,heuristics,qchem,138666
rxn_262,Zeus,True,,heuristics,qchem,5017
rxn_1631,Zeus,True,,heuristics,gaussian_unconverge_trsh,7008
rxn_1357,Zeus,True,,heuristics,qchem,14554
rxn_1351,Zeus,True,,heuristics,qchem,14322
rxn_203,Zeus,True,,autotst,qchem,2522
rxn_303,Zeus,False,Could not determine likely TS conformer,,qchem,26626
rxn_1928,Zeus,True,,autotst,gauss_trsh_cleanup,48387
rxn_827,Zeus,False,Could not determine likely TS conformer,,qchem,269134
rxn_243,Zeus,False,Could not determine likely TS conformer,,qchem,7438
rxn_615,Zeus,True,,heuristics,qchem,210424
rxn_393,Zeus,False,Could not determine likely TS conformer,,qchem,16037
rxn_1362,Zeus,True,,heuristics,qchem,9814
rxn_1968,Zeus,True,,heuristics,gauss_trsh_cleanup,49769
rxn_1911,Zeus,True,,heuristics,gauss_trsh_cleanup,29886
rxn_791,Zeus,True,,autotst,qchem,12384
rxn_1314,Zeus,True,,autotst,qchem,73060
rxn_688,Zeus,True,,heuristics,qchem,839
rxn_1992,Zeus,True,,heuristics,gauss_conformer_comb,4746
rxn_1114,Zeus,True,,heuristics,qchem,14956
rxn_1488,Zeus,True,,heuristics,qchem,51879
rxn_1974,Zeus,True,,heuristics,gauss_trsh_cleanup,1796
rxn_1981,Zeus,True,,heuristics,gauss_trsh_cleanup,4368
rxn_1409,Zeus,False,Could not determine likely TS conformer,,qchem,109923
rxn_1508,Zeus,True,,autotst,qchem,72409
rxn_1423,Zeus,True,,heuristics,qchem,16353
rxn_278,Zeus,False,Could not determine likely TS conformer,,qchem,36655
rxn_2024,Zeus,True,,heuristics,heurist_impr,15828
rxn_689,Zeus,False,Could not determine likely TS conformer,,qchem,550
rxn_216,Zeus,False,Could not determine likely TS conformer,,qchem,3270
rxn_132,Zeus,True,TS did not pass all checks,heuristics,qchem,787
rxn_1236,Zeus,True,,autotst,qchem,10606
rxn_997,Zeus,True,,heuristics,qchem,4479
rxn_664,Zeus,False,Could not determine likely TS conformer,,qchem,1384
rxn_473,Zeus,True,,heuristics,qchem,7200
rxn_1332,Zeus,True,,heuristics,qchem,23768
rxn_2019,Zeus,True,,heuristics,heurist_impr,8879
rxn_1248,Zeus,True,,heuristics,qchem,5132
rxn_309,Zeus,False,Could not determine likely TS conformer,,qchem,4211
rxn_259,Zeus,True,,autotst,qchem,10558
rxn_818,Zeus,True,,heuristics,qchem,1143
rxn_765,Zeus,False,Could not determine likely TS conformer,,qchem,28683
rxn_452,Zeus,True,,heuristics,qchem,4939
rxn_930,Zeus,True,,heuristics,qchem,5049
rxn_1232,Zeus,True,,heuristics,qchem,4371
rxn_1288,Zeus,True,,heuristics,qchem,18070
rxn_1227,Zeus,True,,autotst,qchem,15664
rxn_1200,Zeus,True,,heuristics,qchem,33244
rxn_218,Zeus,True,,heuristics,qchem,1173
rxn_1660,Zeus,True,,heuristics,main,23594
rxn_715,Zeus,True,,autotst,qchem,1451
rxn_1020,Zeus,True,,heuristics,qchem,4183
rxn_153,Zeus,True,TS did not pass all checks,heuristics,qchem,3177
rxn_1994,Zeus,True,,heuristics,gauss_conformer_comb,22114
rxn_1256,Zeus,True,,heuristics,qchem,6377
rxn_487,Zeus,True,,heuristics,qchem,33304
rxn_1840,Zeus,True,,heuristics,gauss_trsh_cleanup,7415
rxn_1029,Zeus,True,,heuristics,qchem,19415
rxn_806,Zeus,True,,heuristics,qchem,591
rxn_1063,Zeus,True,,heuristics,qchem,26913
rxn_1440,Zeus,True,,heuristics,qchem,53492
rxn_289,Zeus,False,Could not determine likely TS conformer,,qchem,522
rxn_874,Zeus,True,,heuristics,qchem,19258
rxn_1205,Zeus,True,,heuristics,qchem,32304
rxn_353,Zeus,False,Could not determine likely TS conformer,,qchem,6933
rxn_287,Zeus,False,Could not determine likely TS conformer,,qchem,1472
rxn_18,Zeus,True,,heuristics,qchem,27976
rxn_1410,Zeus,True,,heuristics,qchem,35259
rxn_1012,Zeus,True,,heuristics,qchem,2199
rxn_1970,Zeus,True,,heuristics,gauss_trsh_cleanup,2820
rxn_893,Zeus,False,Could not determine likely TS conformer,,qchem,21587
rxn_887,Zeus,True,,heuristics,qchem,1684
rxn_1947,Zeus,True,,heuristics,gauss_trsh_cleanup,4330
rxn_1458,Zeus,True,,heuristics,qchem,12678
rxn_483,Zeus,True,,heuristics,qchem,13815
rxn_475,Zeus,True,,heuristics,qchem,6590
rxn_683,Zeus,True,TS did not pass all checks,heuristics,qchem,631
rxn_1347,Zeus,True,,heuristics,qchem,7313
rxn_55,Zeus,False,Could not determine likely TS conformer,,qchem,573
rxn_1196,Zeus,True,,heuristics,qchem,38533
rxn_201,Zeus,True,,heuristics,qchem,984
rxn_1365,Zeus,False,Could not determine likely TS conformer,,qchem,36381
rxn_790,Zeus,True,,heuristics,qchem,1395
rxn_2009,Zeus,True,,heuristics,gauss_trsh_cleanup,21428
rxn_766,Zeus,True,,heuristics,qchem,849
rxn_856,Zeus,True,,heuristics,qchem,4068
rxn_1221,Zeus,True,,heuristics,qchem,18917
rxn_691,Zeus,True,TS did not pass all checks,heuristics,qchem,1549
rxn_1381,Zeus,True,,heuristics,qchem,13498
rxn_1959,Zeus,True,,heuristics,gauss_trsh_cleanup,7504
rxn_1273,Zeus,True,,heuristics,qchem,53597
rxn_127,Zeus,True,,heuristics,qchem,918
rxn_396,Zeus,True,,heuristics,qchem,6519
rxn_1263,Zeus,True,,heuristics,qchem,15018
rxn_1072,Zeus,True,,heuristics,qchem,12014
rxn_1949,Zeus,True,,heuristics,gauss_trsh_cleanup,36035
rxn_1405,Zeus,True,,heuristics,qchem,59800
rxn_1014,Zeus,True,,heuristics,qchem,4924
rxn_456,Zeus,True,,heuristics,qchem,30695
rxn_1450,Zeus,True,,heuristics,qchem,30399
rxn_1276,Zeus,True,,heuristics,qchem,23756
rxn_32,Zeus,True,,heuristics,qchem,28214
rxn_1654,Zeus,True,,heuristics,main,33209
rxn_774,Zeus,False,Could not determine likely TS conformer,,qchem,4948
rxn_1026,Zeus,True,,heuristics,qchem,6387
rxn_1904,Zeus,True,,heuristics,gauss_trsh_cleanup,5585
rxn_1298,Zeus,True,,heuristics,qchem,4769
rxn_1128,Zeus,True,,heuristics,qchem,13308
rxn_1286,Zeus,True,,heuristics,qchem,11521
rxn_1189,Zeus,False,Could not determine likely TS conformer,,qchem,197343
rxn_252,Zeus,True,,heuristics,qchem,1653
rxn_176,Zeus,True,,heuristics,qchem,10266
rxn_250,Zeus,True,,heuristics,qchem,3054
rxn_1045,Zeus,True,,heuristics,qchem,23813
rxn_781,Zeus,True,TS did not pass all checks,heuristics,qchem,2996
rxn_356,Zeus,True,,heuristics,qchem,8901
rxn_381,Zeus,False,Could not determine likely TS conformer,,qchem,4269
rxn_1087,Zeus,True,,heuristics,qchem,19226
rxn_762,Zeus,True,,heuristics,qchem,4567
rxn_322,Zeus,True,,heuristics,qchem,4684
rxn_1093,Zeus,True,,heuristics,qchem,14751
rxn_257,Zeus,False,Could not determine likely TS conformer,,qchem,26043
rxn_645,Zeus,True,,heuristics,qchem,434
rxn_567,Zeus,True,,heuristics,qchem,50958
rxn_1210,Zeus,True,,heuristics,qchem,35920
rxn_1131,Zeus,True,,heuristics,qchem,26098
rxn_46,Zeus,False,Could not determine likely TS conformer,,qchem,27088
rxn_67,Zeus,False,Could not determine likely TS conformer,,qchem,402
rxn_1374,Zeus,True,,heuristics,qchem,12299
rxn_200,Zeus,False,Could not determine likely TS conformer,,qchem,7810
rxn_31,Zeus,True,,heuristics,qchem,11899
rxn_747,Zeus,False,Could not determine likely TS conformer,,qchem,44075
rxn_372,Zeus,True,,heuristics,qchem,1881
rxn_188,Zeus,True,,heuristics,qchem,1883
rxn_1348,Zeus,True,,heuristics,qchem,8798
rxn_1091,Zeus,True,,heuristics,qchem,26859
rxn_554,Zeus,True,,heuristics,qchem,62936
rxn_1152,Zeus,True,,heuristics,qchem,26292
rxn_867,Zeus,True,,heuristics,qchem,2376
rxn_1874,Zeus,True,,heuristics,gauss_trsh_cleanup,4380
rxn_1306,Zeus,False,Could not determine likely TS conformer,,qchem,51870
rxn_2002,Zeus,True,,heuristics,gauss_conformer_comb,20985
rxn_1356,Zeus,True,,heuristics,qchem,16266
rxn_1239,Zeus,True,,heuristics,qchem,16765
rxn_752,Zeus,True,,heuristics,qchem,2859
rxn_1812,Zeus,True,,heuristics,gauss_trsh_cleanup,3195
rxn_291,Zeus,False,Could not determine likely TS conformer,,qchem,32521
rxn_850,Zeus,True,,heuristics,qchem,2853
rxn_633,Zeus,True,,heuristics,qchem,534
rxn_1898,Zeus,True,,heuristics,gauss_trsh_cleanup,8454
rxn_1441,Zeus,True,,heuristics,qchem,42753
rxn_1138,Zeus,True,,heuristics,qchem,20707
rxn_979,Zeus,False,Could not determine likely TS conformer,,qchem,19436
rxn_854,Zeus,True,,heuristics,qchem,1767
rxn_948,Zeus,True,,heuristics,qchem,9940
rxn_49,Zeus,False,Could not determine likely TS conformer,,qchem,35968
rxn_605,Zeus,True,,heuristics,qchem,92966
rxn_1007,Zeus,True,,heuristics,qchem,7922
rxn_767,Zeus,False,Could not determine likely TS conformer,,qchem,11321
rxn_1336,Zeus,True,,heuristics,qchem,16428
rxn_1422,Zeus,True,,heuristics,qchem,22251
rxn_193,Zeus,True,TS did not pass all checks,autotst,qchem,1767
rxn_743,Zeus,True,,heuristics,qchem,37089
rxn_1644,Zeus,True,,heuristics,main,16161
rxn_1671,Zeus,True,,heuristics,main,33736
rxn_1510,Zeus,True,,heuristics,qchem,64483
rxn_233,Zeus,True,"Reactant or Product did not converge, but TS did",heuristics,qchem,1502
rxn_1592,Zeus,True,,autotst,main,6179
rxn_1652,Zeus,True,,heuristics,main,23555
rxn_735,Zeus,True,,autotst,qchem,61253
rxn_872,Zeus,True,,heuristics,qchem,8599
rxn_897,Zeus,True,,heuristics,qchem,8758
rxn_912,Zeus,True,,heuristics,qchem,12744
rxn_1407,Zeus,False,Could not determine likely TS conformer,,qchem,25481
rxn_1646,Zeus,False,Could not determine likely TS conformer,,main,8483
rxn_1787,Zeus,True,,heuristics,gauss_trsh_cleanup,40185
rxn_255,Zeus,False,Could not determine likely TS conformer,,qchem,5120
rxn_974,Zeus,True,,heuristics,qchem,14696
rxn_438,Zeus,True,,autotst,qchem,4270
rxn_60,Zeus,True,,heuristics,qchem,2059
rxn_136,Zeus,False,Could not determine likely TS conformer,,qchem,7421
rxn_870,Zeus,False,Could not determine likely TS conformer,,qchem,7035
rxn_63,Zeus,True,,heuristics,qchem,269
rxn_1626,Zeus,True,,heuristics,gaussian_unconverge_trsh,32125
rxn_690,Zeus,True,,autotst,qchem,5505
rxn_1983,Zeus,True,,heuristics,gauss_trsh_cleanup,8478
rxn_1581,Zeus,True,,heuristics,main,52864
rxn_461,Zeus,True,,heuristics,qchem,60935
rxn_337,Zeus,True,,heuristics,qchem,9437
rxn_1281,Zeus,True,,heuristics,qchem,9018
rxn_1595,Zeus,True,,heuristics,gaussian_unconverge_trsh,17147
rxn_344,Zeus,True,,heuristics,qchem,1379
rxn_669,Zeus,False,Could not determine likely TS conformer,,qchem,1600
rxn_314,Zeus,True,,heuristics,qchem,902
rxn_687,Zeus,False,Could not determine likely TS conformer,,qchem,522
rxn_984,Zeus,True,,heuristics,qchem,16398
rxn_1832,Zeus,True,,autotst,gauss_trsh_cleanup,4656
rxn_1902,Zeus,True,,heuristics,gauss_trsh_cleanup,3070
rxn_1425,Zeus,True,,heuristics,qchem,22431
rxn_1880,Zeus,True,,heuristics,gauss_trsh_cleanup,23091
rxn_824,Zeus,True,,heuristics,qchem,1540
rxn_1337,Zeus,True,,heuristics,qchem,70897
rxn_1937,Zeus,True,,heuristics,gauss_trsh_cleanup,5897
rxn_842,Zeus,True,,heuristics,qchem,933
rxn_792,Zeus,True,,heuristics,qchem,7383
rxn_1345,Zeus,False,Could not determine likely TS conformer,,qchem,3417
rxn_668,Zeus,False,Could not determine likely TS conformer,,qchem,1501
rxn_739,Zeus,True,,heuristics,qchem,57511
rxn_90,Zeus,True,,heuristics,qchem,4194
rxn_1975,Zeus,True,,heuristics,gauss_trsh_cleanup,2998
rxn_1886,Zeus,True,,heuristics,gauss_trsh_cleanup,2239
rxn_1369,Zeus,True,,heuristics,qchem,13466
rxn_122,Zeus,False,Could not determine likely TS conformer,,qchem,13921
rxn_1359,Zeus,True,,heuristics,qchem,25751
rxn_573,Zeus,True,,heuristics,qchem,40867
rxn_476,Zeus,True,,heuristics,qchem,2252
rxn_629,Zeus,True,,heuristics,qchem,597
rxn_1317,Zeus,True,,heuristics,qchem,80046
rxn_1625,Zeus,True,,heuristics,gaussian_unconverge_trsh,2921
rxn_1786,Zeus,True,,heuristics,heurist_impr,70599
rxn_681,Zeus,True,,heuristics,qchem,892
rxn_97,Zeus,True,,heuristics,qchem,10177
rxn_1837,Zeus,True,,heuristics,gauss_trsh_cleanup,2739
rxn_1909,Zeus,True,,heuristics,gauss_trsh_cleanup,2532
rxn_847,Zeus,True,,heuristics,qchem,3505
rxn_1268,Zeus,True,,autotst,qchem,38070
rxn_884,Zeus,True,,autotst,qchem,12384
rxn_1363,Zeus,True,,heuristics,qchem,11545
rxn_1498,Zeus,True,,autotst,qchem,62860
rxn_1435,Zeus,True,,heuristics,qchem,50162
rxn_560,Zeus,True,,heuristics,qchem,75682
rxn_320,Zeus,False,Could not determine likely TS conformer,,qchem,3215
rxn_1110,Zeus,True,,heuristics,qchem,13171
rxn_1794,Zeus,True,,heuristics,gauss_trsh_cleanup,14112
rxn_166,Zeus,True,TS did not pass all checks,heuristics,qchem,3250
rxn_1050,Zeus,True,,heuristics,qchem,22291
rxn_1125,Zeus,True,,autotst,qchem,16441
rxn_1854,Zeus,True,,heuristics,gauss_trsh_cleanup,2660
rxn_1408,Zeus,True,,heuristics,qchem,70455
rxn_302,Zeus,False,Could not determine likely TS conformer,,qchem,9890
rxn_1230,Zeus,True,,heuristics,qchem,3524
rxn_728,Zeus,False,Could not determine likely TS conformer,,qchem,390013
rxn_1259,Zeus,True,,heuristics,qchem,12732
rxn_247,Zeus,True,,heuristics,qchem,3349
rxn_601,Zeus,True,,heuristics,qchem,51668
rxn_563,Zeus,True,,heuristics,qchem,62111
rxn_1270,Zeus,True,,heuristics,qchem,19600
rxn_383,Zeus,True,,heuristics,qchem,1115
rxn_1867,Zeus,True,,heuristics,gauss_trsh_cleanup,8997
rxn_919,Zeus,True,,heuristics,qchem,8647
rxn_1892,Zeus,True,,heuristics,gauss_trsh_cleanup,3863
rxn_478,Zeus,True,,heuristics,qchem,2130
rxn_305,Zeus,False,Could not determine likely TS conformer,,qchem,502
rxn_38,Zeus,True,,heuristics,qchem,4687
rxn_319,Zeus,True,,heuristics,qchem,3698
rxn_1089,Zeus,True,,heuristics,qchem,28633
rxn_373,Zeus,True,,heuristics,qchem,4628
rxn_612,Zeus,True,,heuristics,qchem,81212
rmg_rxn_16332,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest_debug_statement,10846
rmg_rxn_16580,Zeus,False,Could not troubleshoot geometry optimization of reactants or products,,crest,380
rmg_rxn_16518,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest_debug_statement,1305
rmg_rxn_16594,Zeus,False,Could not troubleshoot geometry optimization of reactants or products,,crest,350
rmg_rxn_16418,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest_debug_statement,11311
rmg_rxn_16277,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest,24169
rmg_rxn_16384,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest_debug_statement,12140
rmg_rxn_16703,Zeus,False,Reactant mol combinations - Heuristics,,crest,
rmg_rxn_16506,Zeus,False,QSUB Illegal attribute or resource value select.mem,,crest_debug_statement,
rmg_rxn_16323,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest_debug_statement,10805
rmg_rxn_16766,Zeus,False,Could not troubleshoot geometry optimization of reactants or products,,crest,329
rmg_rxn_16354,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest_debug_statement,11544
rmg_rxn_16723,Zeus,False,Could not troubleshoot geometry optimization of reactants or products,,crest_debug_statement,2797
rmg_rxn_16597,Zeus,False,QSUB Illegal attribute or resource value select.mem,,crest_debug_statement,
rmg_rxn_16807,Zeus,False,QSUB Illegal attribute or resource value select.mem,,crest_debug_statement,
rmg_rxn_16627,Zeus,False,Could not troubleshoot geometry optimization of reactants or products,,crest_debug_statement,4633
rmg_rxn_16341,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest_debug_statement,10495
rmg_rxn_16718,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest_debug_statement,2495
rmg_rxn_16716,Zeus,False,Could not troubleshoot geometry optimization of reactants or products,,crest,610
rmg_rxn_16263,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest,15833
rmg_rxn_16420,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest_debug_statement,11123
rmg_rxn_16722,Zeus,False,Could not troubleshoot geometry optimization of reactants or products,,crest,388
rmg_rxn_16342,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest_debug_statement,10249
rmg_rxn_16650,Zeus,False,QSUB Illegal attribute or resource value select.mem,,crest_debug_statement,
rmg_rxn_16788,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest_debug_statement,2901
rmg_rxn_16538,Zeus,False,Heuristics and AutoTST did not find any successful TS guesses,,crest_debug_statement,1018
rmg_rxn_16669,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest_debug_statement,4993
rmg_rxn_16545,Zeus,False,Could not troubleshoot geometry optimization of reactants or products,,crest,1493
rmg_rxn_16813,Zeus,False,Could not troubleshoot geometry optimization of reactants or products,,crest_debug_statement,47008
rmg_rxn_16427,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest_debug_statement,33567
rmg_rxn_16630,Zeus,False,No conformer was found to be isomorphic with the 2D graph representation,,crest_debug_statement,4353
