reaction,server_x,reactant1,reactant2,no_of_carbon,no_of_nitrogen,no_of_oxygen,aromatic_exist,no_of_sgbonds,no_of_dbbonds,no_of_tpbonds,server_y,converged,error,best_ts_method,branch,execution_time
rxn_1271,Zeus,C#CCC,[CH2]c1ccccc1,11,0,0,True,3,0,1,Zeus,True,,heuristics,qchem,29380.0
rxn_604,Zeus,C=C[CH]C,C1CCC2CCCC2C1,13,0,0,False,12,1,0,Zeus,True,,heuristics,qchem,60218.0
rxn_920,Zeus,C#C[C](C)C,CCC,8,0,0,False,5,0,1,Zeus,True,,heuristics,qchem,13397.0
rxn_1111,Zeus,C=[C]C=S,C=CC(C)C,8,0,0,False,4,3,0,Zeus,True,,heuristics,qchem,21627.0
rxn_357,Zeus,[OH],c1ccccc1,6,0,1,True,0,0,0,Zeus,True,,autotst,qchem,2755.0
rxn_844,Zeus,C=[C]C=C,C,5,0,0,False,1,2,0,Zeus,True,,heuristics,qchem,2316.0
rxn_1496,Zeus,C=[C]C=C,CCc1ccccc1,12,0,0,True,3,2,0,Zeus,True,,heuristics,qchem,61492.0
rxn_1262,Zeus,C#CCC,[CH2]C=C,7,0,0,False,3,1,1,Zeus,False,Could not determine likely TS conformer,,qchem,22034.0
rxn_1190,Zeus,C#C[C]=C,C=CC(C)C=C,10,0,0,False,4,3,1,Zeus,True,,heuristics,qchem,30133.0
rxn_1043,Zeus,C=C[C](C)C,C=CCC,9,0,0,False,5,2,0,Zeus,True,,heuristics,qchem,16708.0
rxn_1615,Zeus,C#C[C](C)C,C=CC,8,0,0,False,4,1,1,Zeus,True,,heuristics,gaussian_unconverge_trsh,13076.0
rxn_1816,Zeus,S[CH]C=C,C=C=C,6,0,0,False,2,3,0,Zeus,True,,heuristics,gauss_trsh_cleanup,3747.0
rxn_1185,Zeus,C=CC(C)C=C,C[C](C)c1ccccc1,15,0,0,True,6,2,0,Zeus,True,,heuristics,qchem,131178.0
rxn_1364,Zeus,C#CCC#C,C=[C]C=C,9,0,0,False,3,2,2,Zeus,True,,heuristics,qchem,14079.0
rxn_890,Zeus,C[C](S)C,CC,5,0,0,False,4,0,0,Zeus,True,,heuristics,qchem,5549.0
rxn_779,Zeus,OO,C[C](C)CO,4,0,3,False,5,0,0,Zeus,True,,heuristics,qchem,4461.0
rxn_1605,Zeus,S[C]=S,C=C,3,0,0,False,1,2,0,Zeus,True,,heuristics,gaussian_unconverge_trsh,5944.0
rxn_754,Zeus,[CH3],C=CCC,5,0,0,False,2,1,0,Zeus,True,,heuristics,qchem,2457.0
rxn_318,Zeus,[CH]=O,C,2,0,1,False,0,1,0,Zeus,True,,heuristics,qchem,847.0
rxn_242,Zeus,CC=O,[CH3],3,0,1,False,1,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,4875.0
rxn_1396,Zeus,C#CC(C)C#C,C=C[C](C)C,11,0,0,False,6,1,2,Zeus,True,,heuristics,qchem,25920.0
rxn_1378,Zeus,C#CCC#C,C[C](C=S)S,8,0,0,False,5,1,2,Zeus,True,,heuristics,qchem,13697.0
rxn_1884,Zeus,CCS,[c]1ccccc1,8,0,0,True,2,0,0,Zeus,True,,heuristics,gauss_trsh_cleanup,10765.0
rxn_1850,Zeus,S[CH]C=C,CS,4,0,0,False,3,1,0,Zeus,True,,heuristics,gauss_trsh_cleanup,6177.0
rxn_793,Zeus,[H][H],C=C[C](C)C=C,6,0,0,False,4,2,0,Zeus,True,,heuristics,qchem,11400.0
rxn_857,Zeus,S[CH]C=S,C,3,0,0,False,2,1,0,Zeus,True,,heuristics,qchem,9389.0
rxn_720,Zeus,[OH],NN=C,1,2,1,False,1,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,2970.0
rxn_745,Zeus,C=CCC=C,[CH]1CCC2CCCCC12,14,0,0,False,12,2,0,Zeus,True,,heuristics,qchem,70294.0
rxn_1964,Zeus,C#C[CH]C#C,CC=S,7,0,0,False,3,1,2,Zeus,True,,heuristics,gauss_trsh_cleanup,82213.0
rxn_1948,Zeus,CC(S)C,C=C[C]=S,6,0,0,False,4,2,0,Zeus,True,,heuristics,gauss_trsh_cleanup,9070.0
rxn_13,Zeus,C=C(C)C,C[C](C)CO,8,0,1,False,6,1,0,Zeus,True,,heuristics,qchem,35126.0
rxn_1494,Zeus,[CH]=C,CCc1ccccc1,10,0,0,True,2,1,0,Zeus,True,,autotst,qchem,58020.0
rxn_1310,Zeus,C#CC(C)C,C=C[C](C)C=C,11,0,0,False,6,2,1,Zeus,True,,heuristics,qchem,42525.0
rxn_1135,Zeus,C#C[CH]C,C=CCC=C,9,0,0,False,4,2,1,Zeus,True,,heuristics,qchem,16511.0
rxn_324,Zeus,[c]1ccccc1,CC,8,0,0,False,1,0,0,Zeus,True,,heuristics,qchem,8549.0
rxn_1922,Zeus,CC(S)C,[CH2]c1ccccc1,10,0,0,True,4,0,0,Zeus,True,,heuristics,gauss_trsh_cleanup,27171.0
rxn_617,Zeus,C=[C]C,C1CCC2CCCC2C1,12,0,0,False,11,1,0,Zeus,True,,heuristics,qchem,138666.0
rxn_262,Zeus,Cc1ccccc1,[H],7,0,0,False,1,0,0,Zeus,True,,heuristics,qchem,5017.0
rxn_1631,Zeus,C=[C]C=S,C=CC,6,0,0,False,2,3,0,Zeus,True,,heuristics,gaussian_unconverge_trsh,7008.0
rxn_1357,Zeus,C#C[C](C)C,C#CCC#C,10,0,0,False,5,0,3,Zeus,True,,heuristics,qchem,14554.0
rxn_1351,Zeus,C#CCC#C,C=C[CH]C,9,0,0,False,4,1,2,Zeus,True,,heuristics,qchem,14322.0
rxn_203,Zeus,COO,[H],1,0,2,False,2,0,0,Zeus,True,,autotst,qchem,2522.0
rxn_303,Zeus,CCC,[O][O],3,0,2,False,3,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,26626.0
rxn_1928,Zeus,CC(S)C,[c]1ccccc1,9,0,0,True,3,0,0,Zeus,True,,autotst,gauss_trsh_cleanup,48387.0
rxn_827,Zeus,[H],C,1,0,0,False,0,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,269134.0
rxn_243,Zeus,CCO[O],[O]O,2,0,4,False,4,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,7438.0
rxn_615,Zeus,C[C](C)c1ccccc1,C1CCC2CCCC2C1,18,0,0,False,13,0,0,Zeus,True,,heuristics,qchem,210424.0
rxn_393,Zeus,[C]#C,CO,3,0,1,False,1,0,1,Zeus,False,Could not determine likely TS conformer,,qchem,16037.0
rxn_1362,Zeus,C#CCC#C,[CH]=C,7,0,0,False,2,1,2,Zeus,True,,heuristics,qchem,9814.0
rxn_1968,Zeus,CC=S,C[C](C)c1ccccc1,11,0,0,True,4,1,0,Zeus,True,,heuristics,gauss_trsh_cleanup,49769.0
rxn_1911,Zeus,CC(S)C,C[C](C)C,7,0,0,False,6,0,0,Zeus,True,,heuristics,gauss_trsh_cleanup,29886.0
rxn_791,Zeus,[H][H],C=C[C](C)C,5,0,0,False,4,1,0,Zeus,True,,autotst,qchem,12384.0
rxn_1314,Zeus,C#C[C](C)C#C,C#CC(C)C,11,0,0,False,6,0,3,Zeus,True,,autotst,qchem,73060.0
rxn_688,Zeus,C,[N]=C=O,2,1,1,False,0,2,0,Zeus,True,,heuristics,qchem,839.0
rxn_1992,Zeus,C=C[C]=S,CC=S,5,0,0,False,2,3,0,Zeus,True,,heuristics,gauss_conformer_comb,4746.0
rxn_1114,Zeus,S[CH]C=S,C=CC(C)C,7,0,0,False,5,2,0,Zeus,True,,heuristics,qchem,14956.0
rxn_1488,Zeus,C#C[CH]C,CCc1ccccc1,12,0,0,True,4,0,1,Zeus,True,,heuristics,qchem,51879.0
rxn_1974,Zeus,[CH2]S,CC=S,3,0,0,False,2,1,0,Zeus,True,,heuristics,gauss_trsh_cleanup,1796.0
rxn_1981,Zeus,S[CH]C=C,CC=S,5,0,0,False,3,2,0,Zeus,True,,heuristics,gauss_trsh_cleanup,4368.0
rxn_1409,Zeus,C#CC(C)C#C,[c]1ccccc1,12,0,0,True,3,0,2,Zeus,False,Could not determine likely TS conformer,,qchem,109923.0
rxn_1508,Zeus,C[C](C=C)S,CCc1ccccc1,12,0,0,True,5,1,0,Zeus,True,,autotst,qchem,72409.0
rxn_1423,Zeus,C#CC(C)C#C,S[CH]C#C,9,0,0,False,5,0,3,Zeus,True,,heuristics,qchem,16353.0
rxn_278,Zeus,c1ccccc1,[CH3],7,0,0,False,0,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,36655.0
rxn_2024,Zeus,C=[C]C=S,CCC=S,6,0,0,False,3,3,0,Zeus,True,,heuristics,heurist_impr,15828.0
rxn_689,Zeus,N,[N]=C=O,1,2,1,False,0,2,0,Zeus,False,Could not determine likely TS conformer,,qchem,550.0
rxn_216,Zeus,CO[O],CC,3,0,2,False,3,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,3270.0
rxn_132,Zeus,[Cl],CC,2,0,0,False,1,0,0,Zeus,True,TS did not pass all checks,heuristics,qchem,787.0
rxn_1236,Zeus,C#CC,C[CH]S,5,0,0,False,3,0,1,Zeus,True,,autotst,qchem,10606.0
rxn_997,Zeus,C=CC,C[CH2],5,0,0,False,2,1,0,Zeus,True,,heuristics,qchem,4479.0
rxn_664,Zeus,O,[C]#N,1,1,1,False,0,0,1,Zeus,False,Could not determine likely TS conformer,,qchem,1384.0
rxn_473,Zeus,CS,C[O],2,0,1,False,2,0,0,Zeus,True,,heuristics,qchem,7200.0
rxn_1332,Zeus,C#CC(C)C,C[C](C=C)S,9,0,0,False,6,1,1,Zeus,True,,heuristics,qchem,23768.0
rxn_2019,Zeus,C[CH]S,CCC=S,5,0,0,False,4,1,0,Zeus,True,,heuristics,heurist_impr,8879.0
rxn_1248,Zeus,C#CC,S[CH]C#C,6,0,0,False,3,0,2,Zeus,True,,heuristics,qchem,5132.0
rxn_309,Zeus,[H][H],[CH]=O,1,0,1,False,1,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,4211.0
rxn_259,Zeus,Cc1ccccc1,[OH],7,0,1,False,1,0,0,Zeus,True,,autotst,qchem,10558.0
rxn_818,Zeus,[H][H],S[CH]C#C,3,0,0,False,3,0,1,Zeus,True,,heuristics,qchem,1143.0
rxn_765,Zeus,[OH],CC(C)CO,4,0,2,False,4,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,28683.0
rxn_452,Zeus,CCOO,C[CH2],4,0,2,False,4,0,0,Zeus,True,,heuristics,qchem,4939.0
rxn_930,Zeus,[CH2]S,CCC,4,0,0,False,3,0,0,Zeus,True,,heuristics,qchem,5049.0
rxn_1232,Zeus,C#CC,C=[C]C=C,7,0,0,False,2,2,1,Zeus,True,,heuristics,qchem,4371.0
rxn_1288,Zeus,C#CCC,C[C](C=C)S,8,0,0,False,5,1,1,Zeus,True,,heuristics,qchem,18070.0
rxn_1227,Zeus,C#CC,[CH2]c1ccccc1,10,0,0,True,2,0,1,Zeus,True,,autotst,qchem,15664.0
rxn_1200,Zeus,S[CH]C=C,C=CC(C)C=C,9,0,0,False,5,3,0,Zeus,True,,heuristics,qchem,33244.0
rxn_218,Zeus,C=C,[OH],2,0,1,False,0,1,0,Zeus,True,,heuristics,qchem,1173.0
rxn_1660,Zeus,C#C[C](C)C#C,C=CC=C,10,0,0,False,4,2,2,Zeus,True,,heuristics,main,23594.0
rxn_715,Zeus,NO,[CH3],1,1,1,False,1,0,0,Zeus,True,,autotst,qchem,1451.0
rxn_1020,Zeus,C=CC,[CH2]C=S,5,0,0,False,2,2,0,Zeus,True,,heuristics,qchem,4183.0
rxn_153,Zeus,[Cl],C1CCC1,4,0,0,False,4,0,0,Zeus,True,TS did not pass all checks,heuristics,qchem,3177.0
rxn_1994,Zeus,[H],CCC=S,3,0,0,False,2,1,0,Zeus,True,,heuristics,gauss_conformer_comb,22114.0
rxn_1256,Zeus,S=[C]C#C,C#CC,6,0,0,False,2,1,2,Zeus,True,,heuristics,qchem,6377.0
rxn_487,Zeus,C[CH]C,C1CC2CCC1C2,10,0,0,False,10,0,0,Zeus,True,,heuristics,qchem,33304.0
rxn_1840,Zeus,S=[C]C#C,C=C=C,6,0,0,False,1,3,1,Zeus,True,,heuristics,gauss_trsh_cleanup,7415.0
rxn_1029,Zeus,C[C](C=S)S,C=CC,6,0,0,False,4,2,0,Zeus,True,,heuristics,qchem,19415.0
rxn_806,Zeus,[H][H],[CH2]S,1,0,0,False,2,0,0,Zeus,True,,heuristics,qchem,591.0
rxn_1063,Zeus,C[CH]C=S,C=CCC,7,0,0,False,4,2,0,Zeus,True,,heuristics,qchem,26913.0
rxn_1440,Zeus,C=C[C](C)C,Cc1ccccc1,12,0,0,True,4,1,0,Zeus,True,,heuristics,qchem,53492.0
rxn_289,Zeus,[H][H],[O][O],0,0,2,False,2,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,522.0
rxn_874,Zeus,C=C[C](C)C=C,CC,8,0,0,False,4,2,0,Zeus,True,,heuristics,qchem,19258.0
rxn_1205,Zeus,C[C](C#C)S,C=CC(C)C=C,10,0,0,False,6,2,1,Zeus,True,,heuristics,qchem,32304.0
rxn_353,Zeus,[OH],C#C,2,0,1,False,0,0,1,Zeus,False,Could not determine likely TS conformer,,qchem,6933.0
rxn_287,Zeus,[H][H],C[O],1,0,1,False,2,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,1472.0
rxn_18,Zeus,C=CC,CC(C)[CH]O,7,0,1,False,5,1,0,Zeus,True,,heuristics,qchem,27976.0
rxn_1410,Zeus,C#CC(C)C#C,C#C[C]=C,10,0,0,False,4,1,3,Zeus,True,,heuristics,qchem,35259.0
rxn_1012,Zeus,[CH]=C,C=CC,5,0,0,False,1,2,0,Zeus,True,,heuristics,qchem,2199.0
rxn_1970,Zeus,C=[C]C,CC=S,5,0,0,False,2,2,0,Zeus,True,,heuristics,gauss_trsh_cleanup,2820.0
rxn_893,Zeus,S=C[C](C)C,CC,6,0,0,False,4,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,21587.0
rxn_887,Zeus,[CH2]S,CC,3,0,0,False,2,0,0,Zeus,True,,heuristics,qchem,1684.0
rxn_1947,Zeus,S[C]=S,CC(S)C,4,0,0,False,4,1,0,Zeus,True,,heuristics,gauss_trsh_cleanup,4330.0
rxn_1458,Zeus,[CH2]C=S,Cc1ccccc1,9,0,0,True,2,1,0,Zeus,True,,heuristics,qchem,12678.0
rxn_483,Zeus,[CH3],C1CC2CCC1C2,8,0,0,False,8,0,0,Zeus,True,,heuristics,qchem,13815.0
rxn_475,Zeus,C[CH]S,CC=O,4,0,1,False,3,1,0,Zeus,True,,heuristics,qchem,6590.0
rxn_683,Zeus,CN,[O],1,1,1,False,1,0,0,Zeus,True,TS did not pass all checks,heuristics,qchem,631.0
rxn_1347,Zeus,C#CCC#C,C[CH2],7,0,0,False,3,0,2,Zeus,True,,heuristics,qchem,7313.0
rxn_55,Zeus,C=C,[SH],2,0,0,False,0,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,573.0
rxn_1196,Zeus,C=CC(C)C=C,S=C[C](C)C,10,0,0,False,6,3,0,Zeus,True,,heuristics,qchem,38533.0
rxn_201,Zeus,CO,[CH3],2,0,1,False,1,0,0,Zeus,True,,heuristics,qchem,984.0
rxn_1365,Zeus,C#CCC#C,[c]1ccccc1,11,0,0,True,2,0,2,Zeus,False,Could not determine likely TS conformer,,qchem,36381.0
rxn_790,Zeus,[H][H],C=C[CH]C,4,0,0,False,3,1,0,Zeus,True,,heuristics,qchem,1395.0
rxn_2009,Zeus,C#C[C](C)C#C,CCC=S,9,0,0,False,5,1,2,Zeus,True,,heuristics,gauss_trsh_cleanup,21428.0
rxn_766,Zeus,[H],CO,1,0,1,False,1,0,0,Zeus,True,,heuristics,qchem,849.0
rxn_856,Zeus,C[C](C=C)S,C,5,0,0,False,3,1,0,Zeus,True,,heuristics,qchem,4068.0
rxn_1221,Zeus,C#CC,C=C[CH]C=C,8,0,0,False,3,2,1,Zeus,True,,heuristics,qchem,18917.0
rxn_691,Zeus,C=CO,[O],2,0,2,False,1,1,0,Zeus,True,TS did not pass all checks,heuristics,qchem,1549.0
rxn_1381,Zeus,C[C](C#C)S,C#CCC#C,9,0,0,False,5,0,3,Zeus,True,,heuristics,qchem,13498.0
rxn_1959,Zeus,C=C[CH]C=C,CC=S,7,0,0,False,3,3,0,Zeus,True,,heuristics,gauss_trsh_cleanup,7504.0
rxn_1273,Zeus,C#CCC,C[C](C)c1ccccc1,13,0,0,True,5,0,1,Zeus,True,,heuristics,qchem,53597.0
rxn_127,Zeus,CC=N,[H],2,1,0,False,1,1,0,Zeus,True,,heuristics,qchem,918.0
rxn_396,Zeus,OO,C[CH]CCO,4,0,3,False,5,0,0,Zeus,True,,heuristics,qchem,6519.0
rxn_1263,Zeus,C#CCC,C=C[CH]C,8,0,0,False,4,1,1,Zeus,True,,heuristics,qchem,15018.0
rxn_1072,Zeus,S[CH]C#C,C=CCC,7,0,0,False,4,1,1,Zeus,True,,heuristics,qchem,12014.0
rxn_1949,Zeus,S=[C]C#C,CC(S)C,6,0,0,False,4,1,1,Zeus,True,,heuristics,gauss_trsh_cleanup,36035.0
rxn_1405,Zeus,C#CC(C)C#C,C[C](C)c1ccccc1,15,0,0,True,6,0,2,Zeus,True,,heuristics,qchem,59800.0
rxn_1014,Zeus,C=[C]C=C,C=CC,7,0,0,False,2,3,0,Zeus,True,,heuristics,qchem,4924.0
rxn_456,Zeus,CCOO,C[C]=O,4,0,3,False,4,1,0,Zeus,True,,heuristics,qchem,30695.0
rxn_1450,Zeus,[CH]=C,Cc1ccccc1,9,0,0,True,1,1,0,Zeus,True,,heuristics,qchem,30399.0
rxn_1276,Zeus,C#CCC,C=[C]C=C,8,0,0,False,3,2,1,Zeus,True,,heuristics,qchem,23756.0
rxn_32,Zeus,CC=CC,[O]O,4,0,2,False,3,1,0,Zeus,True,,heuristics,qchem,28214.0
rxn_1654,Zeus,C=C[CH]C=C,C=CC=C,9,0,0,False,3,4,0,Zeus,True,,heuristics,main,33209.0
rxn_774,Zeus,[CH]=C,CC,4,0,0,False,1,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,4948.0
rxn_1026,Zeus,S[CH]C=C,C=CC,6,0,0,False,3,2,0,Zeus,True,,heuristics,qchem,6387.0
rxn_1904,Zeus,CCS,C=C[C]=S,5,0,0,False,3,2,0,Zeus,True,,heuristics,gauss_trsh_cleanup,5585.0
rxn_1298,Zeus,S[C]=S,C#CCC,5,0,0,False,3,1,1,Zeus,True,,heuristics,qchem,4769.0
rxn_1128,Zeus,C=CCC=C,C[CH]C,8,0,0,False,4,2,0,Zeus,True,,heuristics,qchem,13308.0
rxn_1286,Zeus,C#CCC,C=[C]C=S,7,0,0,False,3,2,1,Zeus,True,,heuristics,qchem,11521.0
rxn_1189,Zeus,C=CC(C)C=C,[c]1ccccc1,12,0,0,True,3,2,0,Zeus,False,Could not determine likely TS conformer,,qchem,197343.0
rxn_252,Zeus,C=C=CC,[H],4,0,0,False,1,2,0,Zeus,True,,heuristics,qchem,1653.0
rxn_176,Zeus,C=CC,[c]1ccccc1,9,0,0,True,1,1,0,Zeus,True,,heuristics,qchem,10266.0
rxn_250,Zeus,C#CC=C,[H],4,0,0,False,1,1,1,Zeus,True,,heuristics,qchem,3054.0
rxn_1045,Zeus,C=C[C](C)C=C,C=CCC,10,0,0,False,5,3,0,Zeus,True,,heuristics,qchem,23813.0
rxn_781,Zeus,CCCO,[O],3,0,2,False,3,0,0,Zeus,True,TS did not pass all checks,heuristics,qchem,2996.0
rxn_356,Zeus,C[CH2],c1ccccc1,8,0,0,True,1,0,0,Zeus,True,,heuristics,qchem,8901.0
rxn_381,Zeus,O,[CH3],1,0,1,False,0,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,4269.0
rxn_1087,Zeus,C=CC(C)C,C=C[CH]C,9,0,0,False,5,2,0,Zeus,True,,heuristics,qchem,19226.0
rxn_762,Zeus,C=CC,C[CH]C,6,0,0,False,3,1,0,Zeus,True,,heuristics,qchem,4567.0
rxn_322,Zeus,[O]O,C,1,0,2,False,1,0,0,Zeus,True,,heuristics,qchem,4684.0
rxn_1093,Zeus,C#C[CH]C#C,C=CC(C)C,10,0,0,False,5,1,2,Zeus,True,,heuristics,qchem,14751.0
rxn_257,Zeus,Cc1ccccc1,[OH],7,0,1,False,1,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,26043.0
rxn_645,Zeus,[H],NN,0,2,0,False,1,0,0,Zeus,True,,heuristics,qchem,434.0
rxn_567,Zeus,C#C[CH]C#C,C1CC2CCCC2C1,13,0,0,False,11,0,2,Zeus,True,,heuristics,qchem,50958.0
rxn_1210,Zeus,S[C]=S,C=CC(C)C=C,7,0,0,False,4,3,0,Zeus,True,,heuristics,qchem,35920.0
rxn_1131,Zeus,C=CCC=C,C=C[CH]C,9,0,0,False,4,3,0,Zeus,True,,heuristics,qchem,26098.0
rxn_46,Zeus,CC(=O)C(C)C,[OH],5,0,2,False,4,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,27088.0
rxn_67,Zeus,[NH2],[H][H],0,1,0,False,1,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,402.0
rxn_1374,Zeus,C#CCC#C,C=[C]C=S,8,0,0,False,3,2,2,Zeus,True,,heuristics,qchem,12299.0
rxn_200,Zeus,C[O],[O]O,1,0,3,False,2,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,7810.0
rxn_31,Zeus,C=C(C)C,CC=C[O],7,0,1,False,4,2,0,Zeus,True,,heuristics,qchem,11899.0
rxn_747,Zeus,C=CCC=C,C1CC2CC[C]1C2,12,0,0,False,10,2,0,Zeus,False,Could not determine likely TS conformer,,qchem,44075.0
rxn_372,Zeus,[H],CC=O,2,0,1,False,1,1,0,Zeus,True,,heuristics,qchem,1881.0
rxn_188,Zeus,C,[OH],1,0,1,False,0,0,0,Zeus,True,,heuristics,qchem,1883.0
rxn_1348,Zeus,C#CCC#C,C[CH]C,8,0,0,False,4,0,2,Zeus,True,,heuristics,qchem,8798.0
rxn_1091,Zeus,C#C[CH]C,C=CC(C)C,9,0,0,False,5,1,1,Zeus,True,,heuristics,qchem,26859.0
rxn_554,Zeus,C#C[C]=C,C1CC2CCC1C2,11,0,0,False,9,1,1,Zeus,True,,heuristics,qchem,62936.0
rxn_1152,Zeus,C=CCC=C,S=C[C](C)C,9,0,0,False,5,3,0,Zeus,True,,heuristics,qchem,26292.0
rxn_867,Zeus,S=[C]C#C,C,4,0,0,False,1,1,1,Zeus,True,,heuristics,qchem,2376.0
rxn_1874,Zeus,C#C[CH]C,CCS,6,0,0,False,4,0,1,Zeus,True,,heuristics,gauss_trsh_cleanup,4380.0
rxn_1306,Zeus,C#CC(C)C,[CH2]C=C,8,0,0,False,4,1,1,Zeus,False,Could not determine likely TS conformer,,qchem,51870.0
rxn_2002,Zeus,C=C[C](C)C,CCC=S,8,0,0,False,5,2,0,Zeus,True,,heuristics,gauss_conformer_comb,20985.0
rxn_1356,Zeus,C#CCC#C,C#C[CH]C,9,0,0,False,4,0,3,Zeus,True,,heuristics,qchem,16266.0
rxn_1239,Zeus,C#CC,C[CH]C=S,6,0,0,False,3,1,1,Zeus,True,,heuristics,qchem,16765.0
rxn_752,Zeus,CC(C)O,[CH3],4,0,1,False,3,0,0,Zeus,True,,heuristics,qchem,2859.0
rxn_1812,Zeus,S[C]=C,C=C=C,5,0,0,False,1,3,0,Zeus,True,,heuristics,gauss_trsh_cleanup,3195.0
rxn_291,Zeus,[OH],CCC,3,0,1,False,2,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,32521.0
rxn_850,Zeus,[CH2]C=S,C,3,0,0,False,1,1,0,Zeus,True,,heuristics,qchem,2853.0
rxn_633,Zeus,[H],[NH],0,1,0,False,0,0,0,Zeus,True,,heuristics,qchem,534.0
rxn_1898,Zeus,C[C](C#C)S,CCS,6,0,0,False,5,0,1,Zeus,True,,heuristics,gauss_trsh_cleanup,8454.0
rxn_1441,Zeus,C=C[CH]C=C,Cc1ccccc1,12,0,0,True,3,2,0,Zeus,True,,heuristics,qchem,42753.0
rxn_1138,Zeus,C#C[C](C)C#C,C=CCC=C,11,0,0,False,5,2,2,Zeus,True,,heuristics,qchem,20707.0
rxn_979,Zeus,S=C[C](C)C,CC(C)C,8,0,0,False,6,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,19436.0
rxn_854,Zeus,C=[C]C=S,C,4,0,0,False,1,2,0,Zeus,True,,heuristics,qchem,1767.0
rxn_948,Zeus,C[C]=S,CCC,5,0,0,False,3,1,0,Zeus,True,,heuristics,qchem,9940.0
rxn_49,Zeus,CCCCO,[OH],4,0,2,False,4,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,35968.0
rxn_605,Zeus,C=C[C](C)C,C1CCC2CCCC2C1,14,0,0,False,13,1,0,Zeus,True,,heuristics,qchem,92966.0
rxn_1007,Zeus,C#C[CH]C#C,C=CC,8,0,0,False,3,1,2,Zeus,True,,heuristics,qchem,7922.0
rxn_767,Zeus,[H],CCO,2,0,1,False,2,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,11321.0
rxn_1336,Zeus,S[CH]C#C,C#CC(C)C,8,0,0,False,5,0,2,Zeus,True,,heuristics,qchem,16428.0
rxn_1422,Zeus,C#CC(C)C#C,C[C](C=S)S,9,0,0,False,6,1,2,Zeus,True,,heuristics,qchem,22251.0
rxn_193,Zeus,CO,[O],1,0,2,False,1,0,0,Zeus,True,TS did not pass all checks,autotst,qchem,1767.0
rxn_743,Zeus,C=CCC=C,[CH]1CC2CCC1C2,12,0,0,False,10,2,0,Zeus,True,,heuristics,qchem,37089.0
rxn_1644,Zeus,C=C[C]=S,C=CC,6,0,0,False,2,3,0,Zeus,True,,heuristics,main,16161.0
rxn_1671,Zeus,C=CC=C,[CH2]C=S,6,0,0,False,2,3,0,Zeus,True,,heuristics,main,33736.0
rxn_1510,Zeus,C[C](C=S)S,CCc1ccccc1,11,0,0,True,5,1,0,Zeus,True,,heuristics,qchem,64483.0
rxn_233,Zeus,CCO,[CH3],3,0,1,False,2,0,0,Zeus,True,"Reactant or Product did not converge, but TS did",heuristics,qchem,1502.0
rxn_1592,Zeus,S[C]=C,C=C,4,0,0,False,1,2,0,Zeus,True,,autotst,main,6179.0
rxn_1652,Zeus,C=C[CH]C,C=CC=C,8,0,0,False,3,3,0,Zeus,True,,heuristics,main,23555.0
rxn_735,Zeus,[H],C1CCC2CCCC2C1,9,0,0,False,10,0,0,Zeus,True,,autotst,qchem,61253.0
rxn_872,Zeus,C=C[C](C)C,CC,7,0,0,False,4,1,0,Zeus,True,,heuristics,qchem,8599.0
rxn_897,Zeus,C[C](C=C)S,CC,6,0,0,False,4,1,0,Zeus,True,,heuristics,qchem,8758.0
rxn_912,Zeus,C[C](C)C,CCC,7,0,0,False,5,0,0,Zeus,True,,heuristics,qchem,12744.0
rxn_1407,Zeus,C#CC(C)C#C,C=[C]C,9,0,0,False,4,1,2,Zeus,False,Could not determine likely TS conformer,,qchem,25481.0
rxn_1646,Zeus,[H],C=CC=C,4,0,0,False,1,2,0,Zeus,False,Could not determine likely TS conformer,,main,8483.0
rxn_1787,Zeus,C=C=C,C[C](C)c1ccccc1,12,0,0,True,3,2,0,Zeus,True,,heuristics,gauss_trsh_cleanup,40185.0
rxn_255,Zeus,C#CC,[OH],3,0,1,False,1,0,1,Zeus,False,Could not determine likely TS conformer,,qchem,5120.0
rxn_974,Zeus,C[CH]S,CC(C)C,6,0,0,False,5,0,0,Zeus,True,,heuristics,qchem,14696.0
rxn_438,Zeus,OO,C=C[O],2,0,3,False,2,1,0,Zeus,True,,autotst,qchem,4270.0
